year,block,plot,management_trt,herbivory_trt,bison_pasture,live,unknown,code,cover,taxon,provenance,life_cycle,type
2024,1,3,fire,SB,yes,0,0,BARE,3,,,,
2024,1,3,fire,SB,yes,0,0,LITTER,97,,,,
2024,1,3,fire,SB,yes,1,0,DAUCAR,2,Daucus carota,introduced,biennial ,forb
2024,1,3,fire,SB,yes,1,0,TRIPRA,6,Trifolium pratense,introduced,biennial ,legume
2024,1,3,fire,SB,yes,1,0,SOLCAR,3,Solanum carolinense,native,perennial ,forb
2024,1,3,fire,SB,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,PASSAT,2,Pastinaca sativa ,introduced,biennial ,forb
2024,1,3,fire,SB,yes,1,0,CONARV,15,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,3,fire,SB,yes,1,0,MEDLUP,1,Medicago lupulina ,introduced,perennial ,legume
2024,1,3,fire,SB,yes,1,0,AMBART,1,Ambrosia artemisiifolia,native,annual ,forb
2024,1,3,fire,SB,yes,1,0,ERIANN,3,Erigeron annuus ,native,annual ,forb
2024,1,3,fire,SB,yes,1,0,DACGLO,8,Dactylis glomerata,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,SOLCAN,2,Solidago canadensis ,native,perennial ,forb
2024,1,3,fire,SB,yes,1,0,FESARU,20,Festuca arundinacea,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,BROINE,35,Bromus inermis ,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,TAROFF,1,Taraxacum officnale ,introduced,perennial ,forb
2024,1,3,fire,SB,yes,1,0,SYMLAE,6,Symphyotrichum laeve ,native,perennial ,forb
2024,1,2,fire,SX,yes,1,0,ELAUMB,60,Elaeagnus umbellata,introduced,perennial ,woody
2024,1,2,fire,SX,yes,1,0,FESARU,20,Festuca arundinacea,introduced,perennial ,grass
2024,1,2,fire,SX,yes,1,0,PASSAT,8,Pastinaca sativa ,introduced,biennial ,forb
2024,1,2,fire,SX,yes,1,0,BROINE,27,Bromus inermis ,introduced,perennial ,grass
2024,1,2,fire,SX,yes,1,0,POAPRA,34,Poa pratensis ,introduced,perennial ,grass
2024,1,2,fire,SX,yes,0,0,BARE,4,,,,
2024,1,2,fire,SX,yes,0,0,LITTER,96,,,,
2024,1,2,fire,SX,yes,1,0,SOLCAN,4,Solidago canadensis ,native,perennial ,forb
2024,1,2,fire,SX,yes,1,0,Vitus spp,5,Vitus spp,native,,
2024,1,2,fire,SX,yes,1,0,CONARV,6,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,2,fire,SX,yes,1,0,AMBART,1,Ambrosia artemisiifolia,native,annual ,forb
2024,1,2,fire,SX,yes,1,0,DAUCAR,1,Daucus carota,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,TRIPRA,27,Trifolium pratense,introduced,biennial ,legume
2024,1,1,fire,XX,yes,1,0,TRIREP,8,Trifolium repens ,introduced,perennial ,legume
2024,1,1,fire,XX,yes,1,0,DAUCAR,7,Daucus carota,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,POAPRA,25,Poa pratensis ,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,AMBART,0.5,Ambrosia artemisiifolia,native,annual ,forb
2024,1,1,fire,XX,yes,1,0,AMBTRI,0.5,Ambrosia trifida ,native,annual ,forb
2024,1,1,fire,XX,yes,0,0,BARE,50,,,,
2024,1,1,fire,XX,yes,0,0,LITTER,50,,,,
2024,1,1,fire,XX,yes,1,0,PASSAT,5,Pastinaca sativa ,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,FESARU,15,Festuca arundinacea,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,MEDLUP,1,Medicago lupulina ,introduced,perennial ,legume
2024,1,1,fire,XX,yes,1,0,BROINE,45,Bromus inermis ,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,SOLCAN,6,Solidago canadensis ,native,perennial ,forb
2024,1,1,fire,XX,yes,1,0,CONARV,2,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,1,fire,XX,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,9,27,mow,SB,yes,0,0,BARE,6,,,,
2024,9,27,mow,SB,yes,1,0,LOTCOR,38,Lotus corniculatus ,introduced,perennial ,legume
