"Term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.2,1.052,-2.091,0.036
"herbivory_trtSX",1.4,1.128,1.242,0.214
"herbivory_trtSB",3,1.128,2.661,0.008
"management_trtfire",-0.8,1.424,-0.562,0.574
"management_trtherbicide",-0.098,1.473,-0.067,0.947
"management_trtmow",2.2,1.488,1.479,0.139
"herbivory_trtSX:management_trtfire",0.42,1.571,0.267,0.789
"herbivory_trtSB:management_trtfire",0.667,1.527,0.437,0.662
"herbivory_trtSX:management_trtherbicide",-0.268,1.572,-0.171,0.865
"herbivory_trtSB:management_trtherbicide",-0.535,1.572,-0.34,0.734
"herbivory_trtSX:management_trtmow",-1.6,1.595,-1.003,0.316
"herbivory_trtSB:management_trtmow",-2.6,1.595,-1.63,0.103
