"contrast","management_trt","estimate","SE","df","t.ratio","p.value"
"XX - SX","control",-0.5,0.95,57,-0.526,0.8587
"XX - SB","control",-3.333,0.95,57,-3.51,0.0025
"SX - SB","control",-2.833,0.95,57,-2.983,0.0115
"XX - SX","fire",0.5,0.95,57,0.526,0.8587
"XX - SB","fire",-2.333,0.95,57,-2.457,0.0444
"SX - SB","fire",-2.833,0.95,57,-2.983,0.0115
"XX - SX","herbicide",-1.667,0.95,57,-1.755,0.1941
"XX - SB","herbicide",-0.667,0.95,57,-0.702,0.7633
"SX - SB","herbicide",1,0.95,57,1.053,0.547
"XX - SX","mow",-1.167,0.95,57,-1.228,0.4415
"XX - SB","mow",-1,0.95,57,-1.053,0.547
"SX - SB","mow",0.167,0.95,57,0.175,0.9832
