"year","date","block","plot","management_trt","herbivory_trt","bison_pasture","time","light_transmission"
2024,"8/7/2024",9,27,"mow","SB","yes","10:18",0.0617408906882591
2024,"8/7/2024",9,26,"mow","SX","yes","11:24",0.0362903225806452
2024,"8/7/2024",9,25,"mow","XX","yes","11:43",0.0662148070907195
2024,"8/7/2024",8,24,"mow","SB","yes","13:14",0.87236084452975
2024,"8/7/2024",8,23,"mow","SX","yes","",0.0200826934435913
2024,"8/7/2024",8,23,"mow","SX","yes","",0.0200826934435913
2024,"8/7/2024",8,22,"mow","XX","yes","",0.0718475073313783
2024,"8/7/2024",8,22,"mow","XX","yes","",0.0718475073313783
2024,"8/8/2024",6,18,"fire","SB","yes","10:04",0.126923076923077
2024,"8/8/2024",6,17,"fire","SX","yes","",0.0419937205651491
2024,"8/8/2024",6,16,"fire","XX","yes","",0.0145929339477727
2024,"8/8/2024",13,39,"herbicide","SB","yes","11:16",0.215403128760529
2024,"8/8/2024",13,38,"herbicide","SX","yes","",0.189150401836969
2024,"8/8/2024",13,37,"herbicide","XX","yes","",0.0843729481286934
2024,"8/8/2024",7,21,"mow","SB","yes","13:07",0.204826038159372
2024,"8/8/2024",7,20,"mow","SX","yes","",0.0547550432276657
2024,"8/8/2024",7,19,"mow","XX","yes","",0.00596302921884317
2024,"8/9/2024",19,57,"control","SB","yes","",NA
2024,"8/9/2024",19,57,"control","SB","yes","",NA
2024,"8/9/2024",19,56,"control","SX","yes","",NA
2024,"8/9/2024",19,56,"control","SX","yes","",NA
2024,"8/9/2024",19,55,"control","XX","yes","",NA
2024,"8/9/2024",19,55,"control","XX","yes","",NA
2024,"8/9/2024",20,60,"control","SB","yes","",NA
2024,"8/9/2024",20,59,"control","SX","yes","10:17",0.0361613351877608
2024,"8/9/2024",20,58,"control","XX","yes","",0.0444587628865979
2024,"8/9/2024",24,72,"control","SB","yes","11:54",0.0812964930924548
2024,"8/9/2024",24,71,"control","SX","yes","",0.0547619047619048
2024,"8/9/2024",24,70,"control","XX","yes","",NA
2024,"8/11/2024",2,6,"fire","SB","yes","",0.0960629921259843
2024,"8/11/2024",2,6,"fire","SB","yes","",0.0960629921259843
2024,"8/11/2024",2,5,"fire","SX","yes","",0.0320253894979804
2024,"8/11/2024",2,5,"fire","SX","yes","",0.0320253894979804
2024,"8/11/2024",2,4,"fire","XX","yes","",0.0167582417582418
2024,"8/11/2024",2,4,"fire","XX","yes","",0.0167582417582418
2024,"8/11/2024",3,9,"fire","SB","yes","",0.494378864530635
2024,"8/11/2024",3,9,"fire","SB","yes","",0.494378864530635
2024,"8/11/2024",3,8,"fire","SX","yes","",0.00694830461367426
2024,"8/11/2024",3,8,"fire","SX","yes","",0.00694830461367426
2024,"8/11/2024",3,7,"fire","XX","yes","",0.0339506172839506
2024,"8/11/2024",3,7,"fire","XX","yes","",0.0339506172839506
2024,"8/11/2024",16,48,"herbicide","SB","yes","13:03",0.546405579399142
2024,"8/11/2024",16,47,"herbicide","SX","yes","",0.171059857221307
2024,"8/11/2024",16,46,"herbicide","XX","yes","",0.165289256198347
2024,"8/12/2024",15,45,"herbicide","SB","yes","",0.133977900552486
2024,"8/12/2024",15,45,"herbicide","SB","yes","",0.133977900552486
2024,"8/12/2024",15,44,"herbicide","SX","yes","",0.189597315436242
2024,"8/12/2024",15,44,"herbicide","SX","yes","",0.189597315436242
2024,"8/12/2024",15,43,"herbicide","XX","yes","",0.0688487584650113
2024,"8/12/2024",15,43,"herbicide","XX","yes","",0.0688487584650113
2024,"8/12/2024",14,42,"herbicide","SB","yes","",0.326410415375077
2024,"8/12/2024",14,42,"herbicide","SB","yes","",0.326410415375077
2024,"8/12/2024",14,41,"herbicide","SX","yes","",0.0994458128078818
2024,"8/12/2024",14,41,"herbicide","SX","yes","",0.0994458128078818
2024,"8/12/2024",14,40,"herbicide","XX","yes","",0.0312883435582822
2024,"8/12/2024",14,40,"herbicide","XX","yes","",0.0312883435582822
2024,"8/12/2024",10,30,"mow","SB","yes","",0.281430825881115
2024,"8/12/2024",10,30,"mow","SB","yes","",0.281430825881115
2024,"8/12/2024",10,29,"mow","SX","yes","",0.0347490347490347
2024,"8/12/2024",10,29,"mow","SX","yes","",0.0347682119205298
2024,"8/12/2024",10,28,"mow","XX","yes","",0.0492487479131886
2024,"8/12/2024",10,28,"mow","XX","yes","",0.0492487479131886
2024,"8/13/2024",4,12,"fire","SB","yes","",0.0174785100286533
2024,"8/13/2024",4,12,"fire","SB","yes","",0.0174785100286533
2024,"8/13/2024",4,11,"fire","SX","yes","",0.0230725942599887
2024,"8/13/2024",4,11,"fire","SX","yes","",0.231638418079096
2024,"8/13/2024",4,10,"fire","XX","yes","",0.0236602052451539
2024,"8/13/2024",4,10,"fire","XX","yes","",0.0236602052451539
2024,"8/13/2024",22,66,"control","SB","yes","10:37",0.132490013315579
2024,"8/13/2024",22,65,"control","SX","yes","",0.0038529934795495
2024,"8/13/2024",22,64,"control","XX","yes","",0.0123419626730885
2024,"8/13/2024",17,51,"herbicide","SB","yes","12:52",0.130874316939891
2024,"8/13/2024",17,50,"herbicide","SX","yes","",0.0956221198156682
2024,"8/13/2024",17,50,"herbicide","SX","yes","",0.0956221198156682
2024,"8/13/2024",17,49,"herbicide","XX","yes","",0.0410876132930514
2024,"8/14/2024",NA,76,"fire",NA,"no","",0.0679267572356763
2024,"8/14/2024",NA,76,"fire",NA,"no","",0.0679267572356763
2024,"8/14/2024",NA,80,"mow",NA,"no","9:55",NA
2024,"8/14/2024",NA,79,"mow",NA,"no","10:41",NA
2024,"8/14/2024",NA,78,"mow",NA,"no","11:33",NA
2024,"8/14/2024",NA,77,"mow",NA,"no","12:21",NA
2024,"8/16/2024",21,63,"control","SB","yes","",NA
2024,"8/16/2024",21,63,"control","SB","yes","",NA
2024,"8/16/2024",21,62,"control","SX","yes","",NA
2024,"8/16/2024",21,62,"control","SX","yes","",NA
2024,"8/16/2024",23,69,"control","SB","yes","10:26",0.0905797101449275
2024,"8/16/2024",23,68,"control","SX","yes","11:13",0.0113825652415325
2024,"8/16/2024",23,67,"control","XX","yes","11:50",0.00870786516853933
2024,"8/16/2024",11,33,"mow","SB","yes","13:40",0.0810265282583622
2024,"8/16/2024",11,32,"mow","SX","yes","14:41",0.0449438202247191
2024,"8/16/2024",11,31,"mow","XX","yes","14:53",0.00590428837787446
2024,"8/17/2024",NA,84,"herbicide",NA,"no","",0.21900826446281
2024,"8/17/2024",NA,84,"herbicide",NA,"no","",0.21900826446281
2024,"8/17/2024",NA,83,"herbicide",NA,"no","",0.0893765903307888
2024,"8/17/2024",NA,83,"herbicide",NA,"no","",0.0893765903307888
2024,"8/17/2024",NA,82,"herbicide",NA,"no","",0.10180412371134
2024,"8/17/2024",NA,82,"herbicide",NA,"no","",0.10180412371134
2024,"8/17/2024",NA,81,"herbicide",NA,"no","11:32",NA
2024,"8/17/2024",NA,75,"fire",NA,"no","13:01",NA
2024,"8/17/2024",NA,75,"fire",NA,"no","13:01",NA
2024,"8/17/2024",NA,74,"fire",NA,"no","",0.00991253644314869
2024,"8/17/2024",NA,74,"fire",NA,"no","",0.00991253644314869
2024,"8/17/2024",NA,73,"fire",NA,"no","",0.0188620902906617
2024,"8/17/2024",NA,73,"fire",NA,"no","",0.0188620902906617
2024,"8/18/2024",NA,88,"control",NA,"no","",NA
2024,"8/18/2024",NA,87,"control",NA,"no","",NA
2024,"8/18/2024",NA,86,"control",NA,"no","9:51",NA
2024,"8/18/2024",NA,85,"control",NA,"no","",NA
2024,"8/19/2024",18,54,"herbicide","SB","yes","8:54",NA
2024,"8/19/2024",18,53,"herbicide","SX","yes","10:00",0.0426490984743412
2024,"8/19/2024",18,52,"herbicide","XX","yes","10:10",0.0556666666666667
2024,"8/19/2024",5,15,"fire","SB","yes","8:47",NA
2024,"8/19/2024",5,14,"fire","SX","yes","9:58",0.0669041963578781
2024,"8/19/2024",5,13,"fire","XX","yes","10:03",0.0302478134110787
2024,"8/19/2024",12,36,"mow","SB","yes","11:06",0.125422773393461
2024,"8/19/2024",12,35,"mow","SX","yes","11:36",0.0455549420209829
2024,"8/19/2024",12,34,"mow","XX","yes","12:11",0.0126903553299492
2024,"8/19/2024",1,1,"fire","XX","yes","12:29",0.0315457413249211
2024,"8/19/2024",1,2,"fire","SX","yes","",0.00771349862258953
2024,"8/19/2024",1,3,"fire","SB","yes","",0.628068303094984
2024,"8/19/2024",2,4,"fire","XX","yes","12:50",0.0167582417582418
2024,"8/19/2024",2,4,"fire","XX","yes","12:50",0.0167582417582418
2024,"8/19/2024",2,5,"fire","SX","yes","",0.0320253894979804
2024,"8/19/2024",2,5,"fire","SX","yes","",0.0320253894979804
2024,"8/19/2024",2,6,"fire","SB","yes","",0.0960629921259843
2024,"8/19/2024",2,6,"fire","SB","yes","",0.0960629921259843
2024,"8/19/2024",3,7,"fire","XX","yes","13:03",0.0339506172839506
2024,"8/19/2024",3,7,"fire","XX","yes","13:03",0.0339506172839506
2024,"8/19/2024",3,8,"fire","SX","yes","",0.00694830461367426
2024,"8/19/2024",3,8,"fire","SX","yes","",0.00694830461367426
2024,"8/19/2024",3,9,"fire","SB","yes","",0.494378864530635
2024,"8/19/2024",3,9,"fire","SB","yes","",0.494378864530635
2024,"8/19/2024",4,10,"fire","XX","yes","13:13",0.0236602052451539
2024,"8/19/2024",4,10,"fire","XX","yes","13:13",0.0236602052451539
2024,"8/19/2024",4,11,"fire","SX","yes","",0.0230725942599887
2024,"8/19/2024",4,11,"fire","SX","yes","",0.231638418079096
2024,"8/19/2024",4,12,"fire","SB","yes","",0.0174785100286533
2024,"8/19/2024",4,12,"fire","SB","yes","",0.0174785100286533
2024,"8/19/2024",8,22,"mow","XX","yes","12:02",0.0718475073313783
2024,"8/19/2024",8,22,"mow","XX","yes","12:02",0.0718475073313783
2024,"8/19/2024",8,23,"mow","SB","yes","",0.0200826934435913
2024,"8/19/2024",8,23,"mow","SB","yes","",0.0200826934435913
2024,"8/19/2024",10,28,"mow","XX","yes","13:31",0.0492487479131886
2024,"8/19/2024",10,28,"mow","XX","yes","13:31",0.0492487479131886
2024,"8/19/2024",10,29,"mow","SX","yes","",0.0347490347490347
2024,"8/19/2024",10,29,"mow","SX","yes","",0.0347682119205298
2024,"8/19/2024",10,30,"mow","SB","yes","",0.281430825881115
2024,"8/19/2024",10,30,"mow","SB","yes","",0.281430825881115
2024,"8/19/2024",14,40,"herbicide","XX","yes","11:00",0.0312883435582822
2024,"8/19/2024",14,40,"herbicide","XX","yes","11:00",0.0312883435582822
2024,"8/19/2024",14,41,"herbicide","SX","yes","",0.0994458128078818
2024,"8/19/2024",14,41,"herbicide","SX","yes","",0.0994458128078818
2024,"8/19/2024",14,42,"herbicide","SB","yes","",0.326410415375077
2024,"8/19/2024",14,42,"herbicide","SB","yes","",0.326410415375077
2024,"8/19/2024",15,43,"herbicide","XX","yes","11:30",0.0688487584650113
2024,"8/19/2024",15,43,"herbicide","XX","yes","11:30",0.0688487584650113
2024,"8/19/2024",15,44,"herbicide","SX","yes","",0.189597315436242
2024,"8/19/2024",15,44,"herbicide","SX","yes","",0.189597315436242
2024,"8/19/2024",15,45,"herbicide","SB","yes","",0.133977900552486
2024,"8/19/2024",15,45,"herbicide","SB","yes","",0.133977900552486
2024,"8/19/2024",17,50,"herbicide","SX","yes","11:48",0.0956221198156682
2024,"8/19/2024",17,50,"herbicide","SX","yes","11:48",0.0956221198156682
2024,"8/19/2024",NA,73,"fire",NA,"no","",0.0188620902906617
2024,"8/19/2024",NA,73,"fire",NA,"no","",0.0188620902906617
2024,"8/19/2024",NA,74,"fire",NA,"no","14:04",0.00991253644314869
2024,"8/19/2024",NA,74,"fire",NA,"no","14:04",0.00991253644314869
2024,"8/19/2024",NA,75,"fire",NA,"no","13:56",NA
2024,"8/19/2024",NA,75,"fire",NA,"no","13:56",NA
2024,"8/19/2024",NA,76,"fire",NA,"no","14:38",0.0679267572356763
2024,"8/19/2024",NA,76,"fire",NA,"no","14:38",0.0679267572356763
2024,"8/19/2024",NA,82,"herbicide",NA,"no","14:33",0.10180412371134
2024,"8/19/2024",NA,82,"herbicide",NA,"no","14:33",0.10180412371134
2024,"8/19/2024",NA,83,"herbicide",NA,"no","14:29",0.0893765903307888
2024,"8/19/2024",NA,83,"herbicide",NA,"no","14:29",0.0893765903307888
2024,"8/19/2024",NA,84,"herbicide",NA,"no","",0.21900826446281
2024,"8/19/2024",NA,84,"herbicide",NA,"no","",0.21900826446281
2024,"8/19/2024",19,55,"control","XX","yes","",NA
2024,"8/19/2024",19,55,"control","XX","yes","",NA
2024,"8/19/2024",19,56,"control","SX","yes","",NA
2024,"8/19/2024",19,56,"control","SX","yes","",NA
2024,"8/19/2024",19,57,"control","SB","yes","",NA
2024,"8/19/2024",19,57,"control","SB","yes","",NA
2024,"8/19/2024",21,61,"control","XX","yes","",NA
2024,"8/19/2024",21,62,"control","SX","yes","",NA
2024,"8/19/2024",21,62,"control","SX","yes","",NA
2024,"8/19/2024",21,63,"control","SB","yes","",NA
